node,x,y,demand
0,34.0,31.0,0
1,45.0,55.0,26
2,70.0,80.0,17
3,81.0,70.0,6
4,85.0,61.0,15
5,59.0,55.0,7
6,45.0,60.0,5
7,50.0,64.0,15
8,80.0,64.0,16
9,75.0,90.0,17
10,25.0,40.0,1
11,9.0,66.0,21
12,1.0,44.0,66
13,50.0,54.0,25
14,35.0,45.0,16
15,71.0,84.0,11
16,1.0,9.0,7
17,25.0,54.0,17
18,45.0,59.0,17
19,45.0,71.0,22
20,66.0,84.0,10
21,11.0,35.0,25
22,81.0,46.0,16
23,85.0,10.0,7
24,75.0,20.0,21
25,15.0,21.0,11
26,90.0,45.0,21
27,15.0,0.0,11
28,31.0,26.0,21
29,10.0,95.0,22
30,6.0,6.0,25
31,51.0,5.0,2
32,26.0,36.0,22
