node,x,y,demand
0,41.0,88.0,0
1,53.0,83.0,5
2,87.0,28.0,20
3,42.0,11.0,7
4,22.0,1.0,2
5,34.0,36.0,19
6,84.0,33.0,19
7,81.0,63.0,9
8,11.0,29.0,15
9,62.0,27.0,22
10,90.0,30.0,14
11,84.0,69.0,15
12,69.0,33.0,18
13,89.0,72.0,4
14,45.0,16.0,6
15,28.0,6.0,4
16,89.0,35.0,10
17,58.0,88.0,16
18,62.0,87.0,14
19,88.0,67.0,1
20,57.0,90.0,23
21,54.0,0.0,19
22,92.0,71.0,16
23,63.0,86.0,22
24,70.0,34.0,15
25,91.0,35.0,4
26,93.0,30.0,21
27,39.0,44.0,16
28,86.0,36.0,22
29,43.0,13.0,6
30,89.0,41.0,2
31,85.0,70.0,11
32,0.0,72.0,5
33,18.0,39.0,2
34,93.0,76.0,12
35,90.0,65.0,6
36,88.0,0.0,17
37,91.0,36.0,15
38,87.0,66.0,11
39,45.0,14.0,4
40,0.0,33.0,22
41,54.0,89.0,13
42,35.0,46.0,21
43,91.0,73.0,13
44,95.0,35.0,20
45,85.0,71.0,6
46,94.0,31.0,15
47,88.0,37.0,22
48,91.0,35.0,11
49,66.0,34.0,18
50,86.0,38.0,8
51,92.0,77.0,22
52,56.0,93.0,16
53,58.0,91.0,7
54,60.0,91.0,16
55,61.0,84.0,21
56,90.0,70.0,16
57,85.0,67.0,17
58,0.0,69.0,16
59,94.0,35.0,23
60,28.0,5.0,3
61,89.0,37.0,20
62,90.0,34.0,13
63,94.0,32.0,6
64,95.0,35.0,12
65,16.0,32.0,15
