id,lat,lng,demand
299,10.7626,106.6602,17
300,10.784858,106.700098,29
301,10.781164,106.689845,11
302,10.78092,106.689929,16
303,10.780071,106.703938,9
304,10.766967,106.69623,2
305,10.780868,106.698235,35
306,10.771707,106.687498,18
307,10.780649,106.698432,34
308,10.781517,106.692609,29
309,10.76701,106.6872,34
310,10.770223,106.693872,29
311,10.767649,106.695383,22
312,10.768208,106.68415,10
313,10.786347,106.701603,14
314,10.769963,106.682128,22
315,10.772698,106.70483,23
316,10.777265,106.702254,29
317,10.761657,106.689622,31
318,10.770683,106.689338,36
319,10.785907,106.690258,3
320,10.775312,106.704851,29
321,10.768959,106.696661,12
322,10.766006,106.706945,18
323,10.780808,106.698447,7
324,10.78125,106.698328,21
325,10.768626,106.693388,13
326,10.772874,106.706283,13
327,10.777627,106.706852,14
328,10.780701,106.706711,10
329,10.76594,106.706758,9
330,10.76508,106.706654,12
331,10.77882,106.707252,3
332,10.781651,106.706982,31
333,10.766764,106.706612,35
334,10.777585,106.707119,13
335,10.764484,106.705871,38
336,10.764882,106.706933,4
337,10.764409,106.705662,17
338,10.783853,106.706998,14
339,10.764547,106.706055,13
340,10.775781,106.707174,24
341,10.764669,106.706302,20
342,10.761688,106.701276,14
343,10.763526,106.704099,11
344,10.781796,106.705676,26
345,10.788843,106.70985,13
346,10.764553,106.703689,20
347,10.762359,106.702178,14
348,10.763027,106.703424,34
349,10.773575,106.706342,10
350,10.763787,106.704994,29
351,10.763811,106.706297,3
352,10.789038,106.709961,5
353,10.781417,106.706113,34
354,10.763885,106.706807,28
355,10.764402,106.707069,32
356,10.777791,106.706564,25
357,10.780941,106.7064,36
358,10.763691,106.70653,21
359,10.765683,106.702531,36
360,10.764499,106.707121,11
361,10.764312,106.707039,19
362,10.763971,106.705807,29
363,10.763695,106.705185,1
364,10.763274,106.703718,24
365,10.763775,106.70427,19
366,10.773698,106.706324,29
367,10.76527,106.702869,18
368,10.763719,106.705449,34
369,10.766612,106.706346,30
370,10.764465,106.707101,27
371,10.780504,106.707235,16
372,10.761703,106.701515,12
373,10.763881,106.704845,26
374,10.78206,106.705717,24
375,10.762447,106.702239,9
376,10.782161,106.705929,17
377,10.764268,106.707021,26
378,10.773288,106.704025,1
379,10.769324,106.682874,32
380,10.767375,106.694142,18
381,10.767278,106.69391,16
382,10.768034,106.693816,36
383,10.768276,106.693666,38
384,10.768468,106.693888,37
385,10.77185,106.704838,35
386,10.781145,106.699017,6
387,10.762771,106.687431,20
388,10.777752,106.698703,15
389,10.785494,106.702696,12
390,10.770485,106.704787,8
391,10.76698,106.70617,39
392,10.773262,106.693806,14
393,10.785391,106.696691,3
394,10.773767,106.701108,22
395,10.77875,106.698118,19
396,10.77823,106.703762,30
397,10.776919,106.681111,30
398,10.766614,106.692268,28
399,10.772698,106.703644,12
400,10.771298,106.7024,24
401,10.789363,106.700632,36
402,10.778168,106.703704,26
403,10.773414,106.693705,7
404,10.772187,106.697352,27
405,10.770981,106.696563,8
406,10.785121,106.702633,8
407,10.785905,106.702104,13
408,10.785014,106.702372,26
409,10.785027,106.702666,9
410,10.785994,106.703665,27
411,10.781426,106.696916,19
412,10.782327,106.6979,26
413,10.781616,106.697734,28
414,10.780563,106.697534,12
415,10.781379,106.697592,37
416,10.781632,106.697551,10
417,10.782701,106.698013,25
418,10.782594,106.698021,13
419,10.781089,106.696565,19
420,10.78263,106.697282,17
421,10.781948,106.697992,12
422,10.780913,106.698851,26
423,10.782526,106.697427,8
424,10.78071,106.697359,8
425,10.781935,106.697528,11
426,10.776125,106.704571,38
427,10.775492,106.69849,6
428,10.7751,106.702969,28
429,10.776283,106.704225,8
430,10.77603,106.704729,15
431,10.775497,106.700706,32
432,10.776198,106.697728,6
433,10.773751,106.70309,29
434,10.772181,106.699234,16
435,10.76923,106.700168,6
436,10.775476,106.695678,20
437,10.776513,106.703595,26
438,10.776144,106.694696,6
439,10.774395,106.7041,13
440,10.776968,106.70344,26
441,10.775501,106.696005,23
442,10.773762,106.704673,28
443,10.771897,106.70057,10
444,10.770758,106.695161,19
445,10.770816,106.694256,26
446,10.788876,106.703496,4
447,10.78719,106.70547,27
448,10.780833,106.699718,1
449,10.776649,106.703405,4
450,10.776083,106.703429,2
451,10.786348,106.703679,31
452,10.787642,106.700087,9
453,10.786521,106.703039,18
454,10.787658,106.699976,4
455,10.778055,106.706967,29
456,10.785085,106.703525,31
457,10.766289,106.707761,26
458,10.760295,106.69917,11
459,10.760338,106.699465,16
460,10.760356,106.699281,22
461,10.760791,106.698923,25
462,10.763407,106.703588,2
463,10.767563,106.694417,40
464,10.767588,106.686394,10
465,10.770917,106.689498,20
466,10.771877,106.69045,39
467,10.779799,106.694914,37
468,10.779881,106.694797,39
469,10.780776,106.695807,22
470,10.780532,106.695654,1
471,10.774376,106.703736,29
472,10.776782,106.704044,17
473,10.776007,106.702098,39
474,10.773797,106.700061,37
475,10.781714,106.698269,25
476,10.779692,106.700749,32
477,10.783112,106.698091,31
478,10.783312,106.695613,17
479,10.783028,106.695272,4
480,10.784124,106.696849,30
481,10.783145,106.695542,22
482,10.771822,106.699091,13
483,10.770425,106.694336,4
484,10.768618,106.693532,28
485,10.778807,106.702007,5
486,10.783185,106.695852,25
487,10.768066,106.695136,9
488,10.78332,106.701755,28
489,10.778627,106.699991,33
490,10.782626,106.696512,22
491,10.777192,106.696203,2
492,10.772054,106.697625,13
493,10.771816,106.697747,29
494,10.772661,106.695401,10
495,10.776491,106.697476,36
496,10.777587,106.696691,31
497,10.784129,106.703318,28
498,10.784391,106.703593,4
499,10.782355,106.696491,2
500,10.779859,106.700914,25
501,10.776619,106.703907,38
502,10.77636,106.702458,31
503,10.774063,106.704184,10
504,10.773869,106.703414,33
505,10.77822,106.69964,10
506,10.773673,106.700772,32
507,10.772503,106.701957,22
508,10.777346,106.699633,28
509,10.773725,106.703403,40
510,10.773679,106.699262,18
511,10.769267,106.696775,29
512,10.771855,106.697582,18
513,10.774748,106.70097,7
514,10.774818,106.699249,7
515,10.764179,106.701123,17
516,10.769774,106.705235,9
517,10.76924,106.701777,3
518,10.770048,106.699707,7
519,10.768641,106.701106,10
520,10.771339,106.700346,27
521,10.769312,106.701993,12
522,10.787247,106.692553,18
523,10.780978,106.698064,28
524,10.783875,106.699216,17
525,10.783891,106.698893,6
526,10.780468,106.695676,21
527,10.780861,106.695689,4
528,10.767809,106.688677,6
529,10.787171,106.70468,33
530,10.78704,106.70446,8
531,10.78343,106.696944,22
532,10.78415,106.697505,31
533,10.784324,106.697355,14
534,10.786073,106.690424,24
535,10.776825,106.703813,17
536,10.780508,106.705731,22
537,10.781504,106.705359,6
538,10.779446,106.704229,13
539,10.767495,106.700226,22
540,10.778032,106.703633,31
541,10.778192,106.703991,8
542,10.778073,106.703917,22
543,10.781847,106.705108,23
544,10.776522,106.704925,8
545,10.776778,106.705096,12
546,10.776411,106.705104,2
547,10.778749,106.698543,24
548,10.778865,106.698245,1
549,10.778008,106.70385,25
550,10.778347,106.703889,34
551,10.778283,106.703826,13
552,10.780371,106.703503,35
553,10.779922,106.703984,40
554,10.780622,106.690108,21
